target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
sps:logsfr_ratios_4,logsfr_ratios_4,mu_15,1.0,0.75,0.9940024166060318,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,log_spec,,0.875,0.9925585930595358,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,m_ab_recon,,1.0,0.33299821912973093,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,x,0.0,0.0,0.4633202792739807,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,h0,0.14285714285714285,0.125,0.5437887683342706,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,h1_mid,0.2857142857142857,0.25,0.7886153398545208,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,h1,0.42857142857142855,0.375,0.7713948149919952,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,h2_mid,0.5714285714285714,0.5,0.8170566928936868,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,h2,0.7142857142857143,0.625,0.9785999251156068,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,z_head_hidden,0.8571428571428571,0.75,0.6586603206388981,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,z_out,1.0,,-0.007746882354689788,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,mu_15,1.0,0.75,0.9978525221424283,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,log_spec,,0.875,0.9662457319411564,,50000,17278
sps:logsfr_ratios_5,logsfr_ratios_5,m_ab_recon,,1.0,0.5098256172081904,,50000,17278
