target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
sps:logsfr_ratios_1,logsfr_ratios_1,h2,0.7142857142857143,0.625,0.973435622183041,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,z_head_hidden,0.8571428571428571,0.75,0.9686288580962001,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,z_out,1.0,,0.9453600484480152,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,mu_15,1.0,0.75,0.9844376322157516,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,log_spec,,0.875,0.9982411734996899,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,m_ab_recon,,1.0,0.8019255360347327,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,x,0.0,0.0,0.4719795513291043,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h0,0.14285714285714285,0.125,0.6264044171351268,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h1_mid,0.2857142857142857,0.25,0.8146851870730368,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h1,0.42857142857142855,0.375,0.8332470951045321,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h2_mid,0.5714285714285714,0.5,0.9112214323741047,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h2,0.7142857142857143,0.625,0.96168890331597,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,z_head_hidden,0.8571428571428571,0.75,0.9398073163919387,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,z_out,1.0,,0.9174446428122845,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,mu_15,1.0,0.75,0.9953090531103072,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,log_spec,,0.875,0.9867145958332717,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,m_ab_recon,,1.0,0.7443833078503781,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,x,0.0,0.0,0.29012414615979165,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h0,0.14285714285714285,0.125,0.4836247184741982,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h1_mid,0.2857142857142857,0.25,0.7502331514490264,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h1,0.42857142857142855,0.375,0.7903126033285652,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h2_mid,0.5714285714285714,0.5,0.8811186566235919,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h2,0.7142857142857143,0.625,0.9445246189515873,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,z_head_hidden,0.8571428571428571,0.75,0.9414871008428372,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,z_out,1.0,,0.9209515111635449,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,mu_15,1.0,0.75,0.9938961488481898,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,log_spec,,0.875,0.991090126972367,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,m_ab_recon,,1.0,0.6852306594161459,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,x,0.0,0.0,0.33403960395471155,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h0,0.14285714285714285,0.125,0.5480592611790509,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h1_mid,0.2857142857142857,0.25,0.8098999874074562,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h1,0.42857142857142855,0.375,0.8585860147410126,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h2_mid,0.5714285714285714,0.5,0.9320312185774131,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h2,0.7142857142857143,0.625,0.9790111284553766,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,z_head_hidden,0.8571428571428571,0.75,0.8893829326737601,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,z_out,1.0,,0.8739196118613943,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,mu_15,1.0,0.75,0.9998917708777278,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,log_spec,,0.875,0.9837886010513416,,50000,17278
